Country Name,Year,Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)",Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Dentists (headcount) (OECD),"Dentists (per 100,000 population) (OECD)",For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospital beds (number) (OECD),Hospital beds (number) (OECD),"Hospital beds (per 1,000 population) (OECD)","Hospital beds (per 1,000 population) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)",Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population aged 65+) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),Nurses (headcount) (OECD),"Nurses (per 1,000 population) (OECD)",Physicians (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),"Psychiatrists (per 1,000 population) (OECD)",Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),Surgical specialists (headcount) (OECD),"Surgical specialists (per 1,000 population) (OECD)"
Italy,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,20618,,,,449781,744,,,,,10322,17,,,60082,99
Japan,2015,998249,785,,,,,455658,359,,,,,7416,5835,1673594,1673594,1317,1317,56,8480,6672,339063,1001,1001,339063,267,,,,,,,,,336282,265,,,1556,1224,,
Japan,2016,992131,782,,,,,451807,356,,,,,7380,5814,1664456,1664456,1311,1311,58,8442,6651,338067,977,977,338067,266,,,,,,,,,334258,263,15609,12,1540,1213,,
Japan,2017,987237,779,,,,,449713,355,,,,,7353,5803,1653234,1653234,1305,1305,57,8412,6639,334297,951,951,334297,264,,,,,,,,,331700,262,,,1538,1214,,
Korea,2015,358236,702,0,0,530612,104,61650,121,28953,57,0,0,1829,3585,592262,592262,1161,1161,,3678,721,229846,3514,3514,229846,451,8387,1913,3466,6794,976142,1913,139290,273,63585,125,3716,7,212,416,31477,62
Korea,2016,363686,71,0,0,550977,1075,62991,123,29643,58,0,0,1851,3612,613968,613968,1198,1198,,3788,7392,246373,3643,3643,246373,481,8328,205,3568,6963,1008778,1969,142677,278,64137,125,3794,7,220,429,32418,63
Korea,2017,367364,714,0,0,566707,1102,64385,125,30344,59,0,0,1808,3514,631092,631092,1227,1227,,3887,7555,259730,3671,3671,259730,505,8297,2319,3666,7126,1056266,2053,146265,284,67298,131,3928,8,221,43,33149,64
Latvia,2015,6700,339,1120,57,0,0,10141,513,2229,113,21,1062,29,1466,11261,11261,569,569,,67,3388,1272,33,33,1272,64,889,4045,0,0,18705,946,11513,582,2496,126,314,16,46,2326,1380,7
Latvia,2016,6681,341,1119,57,0,0,10089,515,2247,115,20,1021,29,148,11208,11208,572,572,,65,3317,1249,323,323,1249,64,895,4074,0,0,18776,958,11710,598,2500,128,304,16,45,2296,1356,69
Latvia,2017,6407,33,1094,56,0,0,9718,5,2301,118,18,927,27,139,10812,10812,557,557,,63,3244,1222,315,315,1222,63,901,4325,0,0,18882,972,11994,618,2430,125,285,15,45,2317,1365,7
Latvia,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18950,98,,,,,,,,,,
Lithuania,2015,17029,586,179,6,0,0,20057,69,3669,126,7,241,73,2513,20236,20236,697,697,77,95,327,1553,284,284,1553,53,1176,3736,0,0,28599,985,14270,491,2986,103,653,22,88,3029,3011,104
Lithuania,2016,16040,559,161,6,0,0,19032,664,3785,132,8,279,73,2545,19193,19193,669,669,82,93,3242,1499,273,273,1499,52,1205,3935,0,0,27744,967,14320,499,2888,101,651,23,85,2963,3065,107
Lithuania,2017,15477,547,154,5,0,0,18394,65,3857,136,8,283,73,2581,18548,18548,656,656,83,93,3288,1403,255,255,1403,5,1165,4059,0,0,26911,951,14578,515,2804,99,671,24,85,3005,3037,107
Lithuania,2018,,,,,,,,,3909,139,,,,,,,,,,,,,,,,,1124,,,,26078,928,14836,528,,,,,,,,
Luxembourg,2015,2296,403,,,,,,,677,119,1,176,5,878,2810,2810,493,493,,12,2107,0,0,0,0,0,396,6471,6,1053,13589,2386,2487,437,452,79,128,22,5,878,364,64
Luxembourg,2016,2275,39,,,,,,,700,12,1,171,5,857,2804,2804,481,481,,12,2057,0,0,0,0,0,414,6843,6,1028,13841,2372,2386,409,452,77,129,22,5,857,376,64
Luxembourg,2017,2251,377,,,,,,,736,123,,,4,671,2780,2780,466,466,,10,1677,0,0,0,0,0,441,7147,,,14471,2427,2497,419,451,76,128,21,,,406,68
Luxembourg,2018,2251,37,,,,,,,,,,,4,658,2740,2740,451,451,,10,1645,0,0,0,0,0,,,,,,,,,451,74,,,,,,
Mexico,2015,167357,139,43929,36,,,123428,102,,,3070,2549,,,167357,167357,139,139,,4456,37,,,,,,,,19,16,,,,,3920,3,1410,1,1367,1135,18764,16
Mexico,2016,169337,139,44006,36,,,125331,103,,,3083,2538,,,169337,169337,139,139,,4474,3683,,,,,,,,19,16,,,,,3968,3,1458,1,1372,1129,18050,15
Mexico,2017,168828,138,44125,36,,,124703,102,,,3140,2564,,,168828,168828,138,138,,4538,3705,,,,,,,,18,15,,,,,4215,3,1461,1,1380,1127,19092,16
Mexico,2018,,,,,,,,,,,3221,261,,,,,,,,4629,3751,,,,,,,,19,15,,,,,,,,,1389,1126,,
Netherlands,2015,51447,304,,,59597,352,0,0,11590,68,374,2208,81,478,59597,59597,352,352,96,517,3052,6246,208,208,6246,37,3890,2281,143,844,187375,1106,75095,443,16726,99,3910,23,0,0,6897,41
Netherlands,2016,51176,3,,,58565,344,0,0,11750,69,394,2314,78,458,58565,58565,344,344,1,534,3136,5443,176,176,5443,32,4065,2356,140,822,193470,1136,77360,454,16604,97,3976,23,0,0,7006,41
Netherlands,2017,50047,292,,,56886,332,0,0,9710,57,411,2399,76,444,56886,56886,332,332,105,545,3181,5007,158,158,5007,29,4295,2529,134,782,201150,1174,77835,454,15541,91,4021,23,0,0,7172,42
New Zealand,2015,12357,269,1494,33,452,1,10528,229,2824,61,52,1131,58,1262,12474,12474,271,271,177,165,359,117,17,17,117,3,2925,4792,28,609,52729,1147,15210,331,1089,24,816,18,85,185,2942,64
New Zealand,2016,12744,272,1443,31,416,9,10962,234,2879,61,50,1065,53,1129,12821,12821,273,273,176,159,3388,77,11,11,77,2,2951,4966,26,554,53922,1149,15764,336,1434,31,864,18,83,1769,3148,67
New Zealand,2017,12905,269,1511,32,403,8,11096,231,2936,61,52,1085,53,1106,13010,13010,271,271,177,162,3379,105,15,15,105,2,3014,5056,26,542,55289,1153,16329,341,1440,3,930,19,84,1752,3283,68
New Zealand,2018,12597,259,1520,31,465,1,10717,22,,,52,1069,53,109,12702,12702,261,261,188,165,3392,105,14,14,105,2,3066,,29,596,56355,1158,17027,35,1452,3,936,19,84,1727,3466,71
