Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Jordan,JOR,1138743539.78461,3441302675.1737,13632983538.0758,12094960533.4281,8830598045.45112,13826035948.1698,16047206176.5456,16571894982.6299,15543454210.4578,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kazakhstan,KAZ,..,2098969798.52754,28264709322.8924,29215275560.7757,28299368221.4887,24691645318.1413,29250310667.5371,27854795818.7629,29603056785.2248,30746770568.3835,30976612438.5176,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kenya,KEN,236115155.443087,897865882.028211,4320858499.01272,4265145709.81446,5711831324.95431,6598881868.91412,7911257617.9182,7548439567.43464,7600553136.56066,7353448764.2093,8196864887.82406,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Korea, Rep.",KOR,14916134692.5271,96250965793.1312,292143494466.557,306934526876.42,327724415843.319,345694098075.172,362834692845.466,366707257929.029,370154204332.626,388804901513.924,403082233385.987,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kosovo,XKX,..,..,813352079.514421,717327041.234403,958335407.209022,956742702.963359,783153103.764853,770550134.507563,637797614.52744,819582674.409873,881167306.173398,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kuwait,KWT,..,7779055735.12478,24801842016.4147,29681701459.822,33109896469.2245,32410244556.9514,35175442351.7033,30960893267.6336,33936274928.4313,36889754716.8625,40282453060.4129,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kyrgyz Republic,KGZ,..,261849461.304369,1720378724.05245,1831422015.50304,2066679059.29408,2238390587.93532,1957488936.70541,1777941002.20899,1967811282.96594,2177013757.29635,2156976620.36741,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Lao PDR,LAO,8375549.36175209,143594407.074212,1104520146.5116,1178202548.03989,1274038870.21985,1064915524.32737,1218805476.83071,1054417338.24998,879517059.148709,1271083415.18651,980441052.937056,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Latvia,LVA,..,919162856.263873,7605713123.87978,6378031224.81066,7524707959.69827,7895272079.61742,3228078824.94263,3445996161.48029,3511946854.90789,4613455660.77037,4370730735.82853,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Lebanon,LBN,4210389197.33679,8474638463.32523,44475631354.516,47859468419.4963,52530986898.8942,47855927547.6784,50668863616.6926,48531390536.9734,53905512885.564,55411532096.3304,52380608542.3956,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Lesotho,LSO,72373876.7409768,417891096.032125,1070956652.76529,919085914.949344,1027908707.57333,1055235433.00087,1070831062.14794,997431660.022088,925195318.767947,657668309.282079,728527649.979486,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Liberia,LBR,..,267707.367815772,444654422.594885,510682930.551263,581160813.652311,604745997.945312,522056268.831349,574780752.726986,595040802.503528,600732858.554034,560299001.752168,..
